Isolate,Collection_date,Geo_origin,Muts_counts,Gene
ISL_417154,2020-02-28,USA,0,S
ISL_417155,2020-02-28,USA,0,S
ISL_417156,2020-02-28,USA,0,S
ISL_417158,2020-02-28,USA,0,S
ISL_417159,2020-02-29,USA,1,S
ISL_417160,2020-02-29,USA,1,S
ISL_417161,2020-02-29,USA,0,S
ISL_417166,2020-02-29,USA,0,S
ISL_417168,2020-02-29,USA,0,S
ISL_417172,2020-02-29,USA,0,S
ISL_417215,2020-02-25,UK,0,S
ISL_417216,2020-02-25,UK,0,S
ISL_417279,2020-03-07,UK,1,S
ISL_417318,2020-02-29,USA,0,S
ISL_417448,2020-03-14,USA,0,S
ISL_417473,2020-03-13,USA,1,S
ISL_417933,2020-03-18,USA,1,S
ISL_418291,2020-03-16,UK,0,S
ISL_418321,2020-03-25,UK,0,S
ISL_418939,2020-03-17,USA,0,S
ISL_418967,2020-03-11,USA,1,S
ISL_419263,2020-03-10,USA,0,S
ISL_419392,2020-03-13,USA,0,S
ISL_419553,2020-02-28,USA,1,S
ISL_419554,2020-02-26,USA,0,S
ISL_419555,2020-02-27,USA,0,S
ISL_419556,2020-02-29,USA,0,S
ISL_419557,2020-02-29,USA,1,S
ISL_419559,2020-02-28,USA,1,S
ISL_419560,2020-02-28,USA,1,S
ISL_419561,2020-02-29,USA,0,S
ISL_420026,2020-03-27,USA,3,S
ISL_420185,2020-03-27,UK,0,S
ISL_420216,2020-03-29,UK,1,S
ISL_420687,2020-03-28,UK,1,S
ISL_420707,2020-03-28,UK,1,S
ISL_420712,2020-03-27,UK,1,S
ISL_420791,2020-02-29,USA,1,S
ISL_420796,2020-02-29,USA,0,S
ISL_420975,2020-03-22,UK,0,S
ISL_420981,2020-03-23,UK,0,S
ISL_420982,2020-03-23,UK,0,S
ISL_421317,2020-03-24,USA,0,S
ISL_421406,2020-03-18,USA,1,S
ISL_421622,2020-03-20,USA,1,S
ISL_421720,2020-03-18,USA,1,S
ISL_421819,2020-03-26,UK,1,S
ISL_421831,2020-03-23,UK,2,S
ISL_421836,2020-03-26,UK,1,S
ISL_421907,2020-03-26,UK,1,S
ISL_422043,2020-03-29,UK,1,S
ISL_422077,2020-03-29,UK,0,S
ISL_422133,2020-03-30,UK,1,S
ISL_422228,2020-03-23,UK,1,S
ISL_422538,2020-03-19,USA,1,S
ISL_422962,2020-03-16,USA,0,S
ISL_423003,2020-03-19,USA,0,S
ISL_423006,2020-03-19,USA,1,S
ISL_423059,2020-03-24,UK,0,S
ISL_423248,2020-03-25,UK,1,S
ISL_423252,2020-03-25,UK,0,S
ISL_423269,2020-03-27,UK,0,S
ISL_423316,2020-03-26,UK,0,S
ISL_423327,2020-03-27,UK,0,S
ISL_423333,2020-03-27,UK,0,S
ISL_423382,2020-03-29,UK,1,S
ISL_423467,2020-03-30,UK,0,S
ISL_423477,2020-03-30,UK,1,S
ISL_423624,2020-03-22,UK,0,S
ISL_423865,2020-03-19,UK,1,S
ISL_423935,2020-03-18,UK,0,S
ISL_423937,2020-03-19,UK,0,S
ISL_424013,2020-03-21,UK,0,S
ISL_424243,2020-03-21,USA,0,S
ISL_424253,2020-03-21,USA,1,S
ISL_424290,2020-03-23,USA,1,S
ISL_424943,2020-04-01,USA,1,S
ISL_424959,2020-04-01,USA,1,S
ISL_425283,2020-03-20,UK,1,S
ISL_425378,2020-03-17,UK,0,S
ISL_425409,2020-03-17,UK,1,S
ISL_425414,2020-03-13,UK,1,S
ISL_425453,2020-04-01,UK,1,S
ISL_425532,2020-03-21,UK,1,S
ISL_425560,2020-03-23,UK,0,S
ISL_425610,2020-03-29,UK,0,S
ISL_425800,2020-03-10,UK,2,S
ISL_425992,2020-03-30,UK,1,S
ISL_425995,2020-03-30,UK,2,S
ISL_426061,2020-03-23,USA,1,S
ISL_426290,2020-03-08,USA,1,S
ISL_426293,2020-03-10,USA,1,S
ISL_426316,2020-03-15,USA,1,S
ISL_426461,2020-03-27,USA,1,S
ISL_426504,2020-03-17,USA,1,S
ISL_427231,2020-03-29,USA,0,S
ISL_427287,2020-03-23,USA,1,S
ISL_427461,2020-04-12,USA,1,S
ISL_427533,2020-03-13,USA,1,S
ISL_427538,2020-03-13,USA,1,S
ISL_427583,2020-03-16,USA,1,S
ISL_427608,2020-03-16,USA,1,S
ISL_428256,2020-03-15,USA,1,S
ISL_428329,2020-03-27,USA,0,S
ISL_428770,2020-04-05,USA,1,S
ISL_428776,2020-04-05,USA,1,S
ISL_428799,2020-04-05,USA,1,S
ISL_429613,2020-03-26,USA,1,S
ISL_429644,2020-04-08,USA,1,S
ISL_430126,2020-02-26,USA,0,S
ISL_430131,2020-02-22,USA,0,S
ISL_430135,2020-02-29,USA,0,S
ISL_430139,2020-03-29,USA,1,S
ISL_430160,2020-02-29,USA,0,S
ISL_430173,2020-03-13,USA,0,S
ISL_430263,2020-03-20,USA,1,S
ISL_430272,2020-02-28,USA,0,S
ISL_430273,2020-02-29,USA,0,S
ISL_430281,2020-02-29,USA,0,S
ISL_430292,2020-02-24,USA,0,S
ISL_430295,2020-02-25,USA,0,S
ISL_430403,2020-04-10,USA,1,S
ISL_430405,2020-04-10,USA,1,S
ISL_430419,2020-04-13,USA,2,S
ISL_430901,2020-04-05,USA,1,S
ISL_430907,2020-04-07,USA,1,S
ISL_430964,2020-04-02,USA,1,S
ISL_431908,2020-04-01,UK,1,S
ISL_431997,2020-04-07,UK,1,S
ISL_432007,2020-03-31,UK,0,S
ISL_432176,2020-04-01,UK,0,S
ISL_432277,2020-03-31,UK,1,S
ISL_432297,2020-04-04,UK,2,S
ISL_432347,2020-03-29,UK,1,S
ISL_432350,2020-04-01,UK,0,S
ISL_432400,2020-03-24,UK,0,S
ISL_432408,2020-04-01,UK,0,S
ISL_432543,2020-03-29,UK,0,S
ISL_432585,2020-04-15,UK,1,S
ISL_432623,2020-04-07,UK,1,S
ISL_432637,2020-04-06,UK,2,S
ISL_432663,2020-03-24,UK,1,S
ISL_432921,2020-03-28,UK,1,S
ISL_432931,2020-03-28,UK,0,S
ISL_433034,2020-04-03,UK,0,S
ISL_433074,2020-03-24,UK,1,S
ISL_433154,2020-04-17,UK,1,S
ISL_433156,2020-04-17,UK,1,S
ISL_433170,2020-04-18,UK,1,S
ISL_433181,2020-04-19,UK,1,S
ISL_433183,2020-04-19,UK,1,S
ISL_433221,2020-04-02,UK,1,S
ISL_433228,2020-04-02,UK,0,S
ISL_433300,2020-03-23,UK,0,S
ISL_433304,2020-03-23,UK,1,S
ISL_433316,2020-03-25,UK,0,S
ISL_433514,2020-03-29,UK,0,S
ISL_433553,2020-04-01,UK,2,S
ISL_433585,2020-04-02,UK,1,S
ISL_433745,2020-04-05,UK,1,S
ISL_433818,2020-03-27,UK,1,S
ISL_433820,2020-03-26,UK,0,S
ISL_433936,2020-04-10,UK,2,S
ISL_433939,2020-04-11,UK,1,S
ISL_433976,2020-04-13,UK,1,S
ISL_434017,2020-04-15,UK,1,S
ISL_434074,2020-04-03,USA,1,S
ISL_434140,2020-03-27,USA,1,S
ISL_434173,2020-03-26,USA,0,S
ISL_434194,2020-03-28,USA,1,S
ISL_434220,2020-04-05,USA,1,S
ISL_434281,2020-03-25,USA,1,S
ISL_434739,2020-03-13,USA,1,S
ISL_434825,2020-03-20,USA,1,S
ISL_434949,2020-03-29,USA,1,S
ISL_434950,2020-03-29,USA,1,S
ISL_435001,2020-04-01,USA,1,S
ISL_435465,2020-03-31,USA,1,S
ISL_435485,2020-03-30,USA,1,S
ISL_435526,2020-04-20,USA,1,S
ISL_435580,2020-02-26,USA,0,S
ISL_435581,2020-02-28,USA,0,S
ISL_435582,2020-02-28,USA,0,S
ISL_435583,2020-02-29,USA,1,S
ISL_435585,2020-02-29,USA,0,S
ISL_435587,2020-02-29,USA,0,S
ISL_436069,2020-03-09,USA,1,S
ISL_436480,2020-03-15,USA,1,S
ISL_436503,2020-03-15,USA,1,S
ISL_436605,2020-04-14,USA,0,S
ISL_436647,2020-04-04,USA,0,S
ISL_436860,2020-03-24,USA,1,S
ISL_436896,2020-05-02,USA,1,S
ISL_437078,2020-04-07,USA,0,S
ISL_437120,2020-03-18,USA,1,S
ISL_437392,2020-04-13,USA,1,S
ISL_437398,2020-03-28,USA,1,S
ISL_437815,2020-04-01,USA,0,S
ISL_437834,2020-04-02,USA,1,S
ISL_437866,2020-04-02,USA,1,S
ISL_438247,2020-03-17,USA,1,S
ISL_438281,2020-03-29,UK,0,S
ISL_438312,2020-03-29,UK,1,S
ISL_438437,2020-03-29,UK,1,S
ISL_438443,2020-03-30,UK,0,S
ISL_438467,2020-03-29,UK,0,S
ISL_438479,2020-03-30,UK,1,S
ISL_438540,2020-03-31,UK,1,S
ISL_438576,2020-04-20,UK,1,S
ISL_438614,2020-04-21,UK,1,S
ISL_438633,2020-04-21,UK,1,S
ISL_438652,2020-04-23,UK,2,S
ISL_438876,2020-04-10,UK,1,S
ISL_438993,2020-03-20,UK,1,S
ISL_439045,2020-03-21,UK,0,S
ISL_439049,2020-03-21,UK,0,S
ISL_439095,2020-03-26,UK,0,S
ISL_439167,2020-04-20,UK,0,S
ISL_439174,2020-04-21,UK,1,S
ISL_439198,2020-04-22,UK,1,S
ISL_439248,2020-04-25,UK,1,S
ISL_439279,2020-04-13,UK,1,S
ISL_439286,2020-04-14,UK,1,S
ISL_439289,2020-04-27,UK,1,S
ISL_439468,2020-03-31,UK,1,S
ISL_439497,2020-03-31,UK,1,S
ISL_439501,2020-03-31,UK,2,S
ISL_439578,2020-03-31,UK,1,S
ISL_439594,2020-03-22,UK,1,S
ISL_439602,2020-03-29,UK,1,S
ISL_439658,2020-03-24,UK,0,S
ISL_439760,2020-04-09,UK,1,S
ISL_439848,2020-04-17,UK,1,S
ISL_439869,2020-03-29,UK,1,S
ISL_439884,2020-03-24,UK,1,S
ISL_439890,2020-03-21,UK,1,S
ISL_439918,2020-03-28,UK,1,S
ISL_439941,2020-03-22,UK,0,S
ISL_439963,2020-03-22,UK,1,S
ISL_439965,2020-03-21,UK,0,S
ISL_439990,2020-03-22,UK,1,S
ISL_439999,2020-03-22,UK,1,S
ISL_440018,2020-03-22,UK,0,S
ISL_440064,2020-03-22,UK,2,S
ISL_440130,2020-03-30,UK,1,S
ISL_440181,2020-03-20,UK,1,S
ISL_440331,2020-03-19,UK,0,S
ISL_440346,2020-03-20,UK,1,S
ISL_440483,2020-02-28,UK,1,S
ISL_440486,2020-02-27,UK,1,S
ISL_440514,2020-02-28,UK,0,S
ISL_440518,2020-03-04,UK,0,S
ISL_440627,2020-04-03,UK,1,S
ISL_440629,2020-04-04,UK,1,S
ISL_440644,2020-04-04,UK,0,S
ISL_440696,2020-04-01,UK,1,S
ISL_440726,2020-04-03,UK,0,S
ISL_440744,2020-04-02,UK,1,S
ISL_440759,2020-04-03,UK,1,S
ISL_441272,2020-04-02,UK,2,S
ISL_441299,2020-04-02,UK,1,S
ISL_441317,2020-04-02,UK,1,S
ISL_441325,2020-04-01,UK,0,S
ISL_441394,2020-03-10,UK,0,S
ISL_441486,2020-04-11,UK,0,S
ISL_441517,2020-04-22,UK,2,S
ISL_441631,2020-04-03,UK,1,S
ISL_441663,2020-03-30,UK,1,S
ISL_441770,2020-03-26,UK,0,S
ISL_441904,2020-04-11,UK,2,S
ISL_441937,2020-03-25,UK,1,S
ISL_441988,2020-04-10,UK,0,S
ISL_442123,2020-04-06,UK,1,S
ISL_442165,2020-04-04,UK,1,S
ISL_442289,2020-04-06,UK,1,S
ISL_442449,2020-03-24,UK,1,S
ISL_442482,2020-03-26,UK,1,S
ISL_442549,2020-04-10,UK,1,S
ISL_442923,2020-04-07,UK,1,S
ISL_443031,2020-04-10,UK,1,S
ISL_443069,2020-04-10,UK,0,S
ISL_443256,2020-04-03,USA,1,S
ISL_443685,2020-04-14,UK,1,S
ISL_443772,2020-03-26,UK,2,S
ISL_443814,2020-03-25,UK,1,S
ISL_443851,2020-03-30,UK,0,S
ISL_443855,2020-03-31,UK,1,S
ISL_443900,2020-03-26,UK,1,S
ISL_443911,2020-03-26,UK,1,S
ISL_443932,2020-03-26,UK,0,S
ISL_444025,2020-05-01,USA,0,S
ISL_444053,2020-04-27,USA,1,S
ISL_444437,2020-04-18,UK,1,S
ISL_444528,2020-03-16,USA,1,S
ISL_444556,2020-03-18,USA,1,S
ISL_444594,2020-03-20,USA,1,S
ISL_444617,2020-03-30,USA,1,S
ISL_444666,2020-03-30,USA,1,S
ISL_444746,2020-04-02,USA,1,S
ISL_444754,2020-04-02,USA,1,S
ISL_444770,2020-04-10,USA,1,S
ISL_444994,2020-03-11,USA,1,S
ISL_445109,2020-03-12,USA,0,S
ISL_445642,2020-04-06,UK,1,S
ISL_445772,2020-04-09,UK,0,S
ISL_445781,2020-04-08,UK,2,S
ISL_445819,2020-03-29,UK,0,S
ISL_445885,2020-03-31,UK,0,S
ISL_445999,2020-04-04,UK,2,S
ISL_446049,2020-04-10,UK,1,S
ISL_446355,2020-04-09,UK,1,S
ISL_446437,2020-04-12,UK,2,S
ISL_446440,2020-04-12,UK,1,S
ISL_446514,2020-04-11,UK,1,S
ISL_446624,2020-04-09,UK,1,S
ISL_446701,2020-04-14,UK,1,S
ISL_446859,2020-04-16,UK,1,S
ISL_446866,2020-04-20,UK,2,S
ISL_446994,2020-04-19,UK,1,S
ISL_447111,2020-03-12,USA,0,S
ISL_447166,2020-03-19,USA,1,S
ISL_447900,2020-02-21,USA,0,S
ISL_447965,2020-04-29,UK,1,S
ISL_448013,2020-05-02,UK,1,S
ISL_448036,2020-05-02,UK,1,S
ISL_448049,2020-05-06,UK,1,S
ISL_448107,2020-05-07,UK,1,S
ISL_448329,2020-04-23,UK,1,S
ISL_448349,2020-04-30,UK,1,S
ISL_448454,2020-04-07,UK,2,S
ISL_448949,2020-03-24,UK,0,S
ISL_449063,2020-05-04,UK,1,S
ISL_449298,2020-04-24,UK,0,S
ISL_449322,2020-05-09,UK,1,S
ISL_449676,2020-04-15,UK,1,S
ISL_449872,2020-04-10,USA,1,S
ISL_449910,2020-04-13,USA,1,S
ISL_449919,2020-04-12,USA,0,S
ISL_449958,2020-04-14,USA,1,S
ISL_449979,2020-04-15,USA,1,S
ISL_449995,2020-04-16,USA,0,S
ISL_450176,2020-04-06,USA,1,S
ISL_450543,2020-03-30,USA,1,S
ISL_450700,2020-03-16,USA,1,S
ISL_452276,2020-04-30,USA,1,S
ISL_452286,2020-03-15,USA,1,S
ISL_452303,2020-03-18,USA,1,S
ISL_452806,2020-04-05,USA,1,S
ISL_452859,2020-05-07,UK,1,S
ISL_452884,2020-05-06,UK,2,S
ISL_452913,2020-05-07,UK,1,S
ISL_453086,2020-04-20,UK,1,S
ISL_453184,2020-03-30,UK,1,S
ISL_453542,2020-04-22,UK,1,S
ISL_453588,2020-04-27,UK,2,S
ISL_453592,2020-04-26,UK,1,S
ISL_453615,2020-05-04,UK,2,S
ISL_453632,2020-05-02,UK,1,S
ISL_453650,2020-05-12,UK,1,S
ISL_453733,2020-04-22,UK,2,S
ISL_453760,2020-04-22,UK,1,S
ISL_454364,2020-03-30,USA,1,S
ISL_454368,2020-03-31,USA,1,S
ISL_454380,2020-04-01,USA,1,S
ISL_454618,2020-04-26,USA,0,S
ISL_454673,2020-04-12,USA,1,S
ISL_455359,2020-04-23,USA,1,S
ISL_455575,2020-05-19,USA,1,S
ISL_455582,2020-05-26,USA,1,S
ISL_456012,2020-03-25,USA,1,S
ISL_456013,2020-03-27,USA,1,S
ISL_456055,2020-03-27,USA,1,S
ISL_456716,2020-05-19,UK,1,S
ISL_456792,2020-05-02,UK,2,S
ISL_456986,2020-05-19,UK,1,S
ISL_456997,2020-05-19,UK,2,S
ISL_457004,2020-05-23,UK,1,S
ISL_457011,2020-03-30,UK,1,S
ISL_457123,2020-04-10,UK,1,S
ISL_457324,2020-05-13,UK,2,S
ISL_457336,2020-05-14,UK,1,S
ISL_457345,2020-05-12,UK,1,S
ISL_457369,2020-05-11,UK,1,S
ISL_457448,2020-05-01,UK,1,S
ISL_457454,2020-05-08,UK,1,S
ISL_457463,2020-05-08,UK,1,S
ISL_457485,2020-05-05,UK,2,S
ISL_457489,2020-05-06,UK,1,S
ISL_457508,2020-05-07,UK,1,S
ISL_457536,2020-05-10,UK,1,S
ISL_457609,2020-05-02,UK,2,S
ISL_457626,2020-04-15,UK,2,S
ISL_457634,2020-04-24,UK,2,S
ISL_458262,2020-04-01,USA,1,S
ISL_458280,2020-04-21,USA,1,S
ISL_458291,2020-04-15,USA,1,S
ISL_458395,2020-04-16,UK,1,S
ISL_458445,2020-04-29,UK,1,S
ISL_458476,2020-04-29,UK,1,S
ISL_458718,2020-03-30,UK,1,S
ISL_458787,2020-04-19,UK,1,S
ISL_458979,2020-04-08,UK,2,S
ISL_459178,2020-05-06,UK,1,S
ISL_459231,2020-05-06,UK,1,S
ISL_459249,2020-05-01,UK,1,S
ISL_459276,2020-05-01,UK,1,S
ISL_459309,2020-04-30,UK,2,S
ISL_459513,2020-03-22,UK,0,S
ISL_459575,2020-03-25,UK,2,S
ISL_459628,2020-03-26,UK,2,S
ISL_459718,2020-03-25,UK,1,S
ISL_459959,2020-03-04,UK,0,S
ISL_459960,2020-02-03,UK,0,S
ISL_459995,2020-05-07,USA,1,S
ISL_460139,2020-04-02,USA,1,S
ISL_460194,2020-03-28,USA,1,S
ISL_460217,2020-04-03,USA,1,S
ISL_460244,2020-04-04,USA,1,S
ISL_460290,2020-03-26,USA,1,S
ISL_460292,2020-03-25,USA,1,S
ISL_460351,2020-04-04,USA,1,S
ISL_460367,2020-03-26,USA,1,S
ISL_460472,2020-03-11,USA,1,S
ISL_460569,2020-05-14,USA,1,S
ISL_460598,2020-03-24,USA,1,S
ISL_461415,2020-04-05,USA,1,S
ISL_461453,2020-05-29,USA,1,S
ISL_461759,2020-05-25,UK,1,S
ISL_461762,2020-04-03,UK,1,S
ISL_461839,2020-04-29,UK,1,S
ISL_461927,2020-05-21,UK,2,S
ISL_461932,2020-05-21,UK,1,S
ISL_462049,2020-04-19,UK,1,S
ISL_462690,2020-04-30,USA,1,S
ISL_462880,2020-05-07,USA,1,S
ISL_462897,2020-05-14,USA,1,S
ISL_463168,2020-04-01,USA,1,S
ISL_463293,2020-04-08,USA,1,S
ISL_463356,2020-04-24,USA,1,S
ISL_463374,2020-04-17,USA,1,S
ISL_463385,2020-04-24,USA,1,S
ISL_463396,2020-04-27,USA,0,S
ISL_463435,2020-04-27,USA,1,S
ISL_463480,2020-04-28,USA,0,S
ISL_463599,2020-05-04,USA,1,S
ISL_463601,2020-05-04,USA,1,S
ISL_463626,2020-05-04,USA,1,S
ISL_463703,2020-05-07,USA,1,S
ISL_464168,2020-02-09,UK,0,S
ISL_464169,2020-02-13,UK,0,S
ISL_464170,2020-02-13,UK,0,S
ISL_464171,2020-02-14,UK,0,S
ISL_464172,2020-02-14,UK,0,S
ISL_464173,2020-02-15,UK,0,S
ISL_464174,2020-02-15,UK,0,S
ISL_464175,2020-02-16,UK,0,S
ISL_464176,2020-02-16,UK,0,S
ISL_464177,2020-02-16,UK,0,S
ISL_464178,2020-02-18,UK,0,S
ISL_464179,2020-02-19,UK,0,S
ISL_464180,2020-02-20,UK,0,S
ISL_464181,2020-02-24,UK,0,S
ISL_464182,2020-02-24,UK,0,S
ISL_464183,2020-02-24,UK,0,S
ISL_464184,2020-02-25,UK,1,S
ISL_464185,2020-02-25,UK,0,S
ISL_464186,2020-02-25,UK,0,S
ISL_464187,2020-02-26,UK,0,S
ISL_464188,2020-02-26,UK,0,S
ISL_464189,2020-02-27,UK,0,S
ISL_464190,2020-02-27,UK,0,S
ISL_464191,2020-02-26,UK,0,S
ISL_464192,2020-02-27,UK,0,S
ISL_464193,2020-02-27,UK,0,S
ISL_464194,2020-02-27,UK,1,S
ISL_464195,2020-02-26,UK,1,S
ISL_464196,2020-02-27,UK,1,S
ISL_464197,2020-02-27,UK,0,S
ISL_464198,2020-02-28,UK,1,S
ISL_464199,2020-02-28,UK,0,S
ISL_464200,2020-02-27,UK,1,S
ISL_464201,2020-02-28,UK,0,S
ISL_464202,2020-02-29,UK,0,S
ISL_464203,2020-02-29,UK,1,S
ISL_464204,2020-02-26,UK,1,S
ISL_464205,2020-02-28,UK,0,S
ISL_464206,2020-02-28,UK,0,S
ISL_464207,2020-02-28,UK,1,S
ISL_464208,2020-02-27,UK,1,S
ISL_464209,2020-02-27,UK,1,S
ISL_464210,2020-02-29,UK,0,S
ISL_464211,2020-02-29,UK,0,S
ISL_464212,2020-02-29,UK,0,S
ISL_464214,2020-02-29,UK,1,S
ISL_464215,2020-02-29,UK,1,S
ISL_464216,2020-02-29,UK,0,S
ISL_464217,2020-02-29,UK,0,S
ISL_464218,2020-02-29,UK,0,S
ISL_464219,2020-02-28,UK,1,S
ISL_464221,2020-02-28,UK,0,S
ISL_464223,2020-02-28,UK,0,S
ISL_464224,2020-02-28,UK,0,S
ISL_464226,2020-02-27,UK,1,S
ISL_464228,2020-02-28,UK,0,S
ISL_464229,2020-02-27,UK,1,S
ISL_464247,2020-02-29,UK,0,S
ISL_464251,2020-02-28,UK,1,S
ISL_464252,2020-02-28,UK,0,S
ISL_464253,2020-02-28,UK,0,S
ISL_464259,2020-02-29,UK,1,S
ISL_464302,2020-02-03,UK,1,S
ISL_464303,2020-02-03,UK,1,S
ISL_464304,2020-02-03,UK,1,S
ISL_464411,2020-02-27,UK,2,S
ISL_464412,2020-02-29,UK,1,S
ISL_464435,2020-03-04,UK,1,S
ISL_464500,2020-03-04,UK,1,S
ISL_464545,2020-03-05,UK,0,S
ISL_464589,2020-03-07,UK,1,S
ISL_464675,2020-03-09,UK,1,S
ISL_464752,2020-03-09,UK,0,S
ISL_464765,2020-03-09,UK,0,S
ISL_464784,2020-03-11,UK,1,S
ISL_464967,2020-03-12,UK,0,S
ISL_464968,2020-03-12,UK,0,S
ISL_464998,2020-03-13,UK,0,S
ISL_465013,2020-03-13,UK,0,S
ISL_465116,2020-03-15,UK,0,S
ISL_465117,2020-03-15,UK,0,S
ISL_465144,2020-03-12,UK,0,S
ISL_465158,2020-03-15,UK,1,S
ISL_465255,2020-04-19,UK,1,S
ISL_465283,2020-04-20,UK,1,S
ISL_465290,2020-04-09,UK,1,S
ISL_465534,2020-05-01,UK,1,S
ISL_465580,2020-05-02,UK,1,S
ISL_465629,2020-05-03,UK,1,S
ISL_466005,2020-03-27,UK,1,S
ISL_466029,2020-03-31,UK,1,S
ISL_466090,2020-04-03,UK,1,S
ISL_466139,2020-03-31,UK,1,S
ISL_466143,2020-03-31,UK,1,S
ISL_466174,2020-04-03,UK,1,S
ISL_466530,2020-04-14,UK,2,S
ISL_466561,2020-04-14,UK,1,S
ISL_466567,2020-04-16,UK,1,S
ISL_466615,2020-02-16,UK,1,S
ISL_466676,2020-05-04,USA,1,S
ISL_467395,2020-04-26,USA,1,S
ISL_467586,2020-04-04,USA,1,S
ISL_467630,2020-04-01,USA,1,S
ISL_467849,2020-03-13,USA,1,S
ISL_467877,2020-03-15,USA,1,S
ISL_467908,2020-03-14,USA,0,S
ISL_468097,2020-04-24,USA,1,S
ISL_468116,2020-05-02,USA,1,S
ISL_468120,2020-05-13,USA,1,S
ISL_468125,2020-05-11,USA,1,S
ISL_468413,2020-03-30,USA,1,S
ISL_468426,2020-04-28,USA,2,S
ISL_468428,2020-04-29,USA,1,S
ISL_468477,2020-04-30,USA,1,S
ISL_468487,2020-04-23,USA,1,S
ISL_468496,2020-03-29,USA,1,S
ISL_468511,2020-03-21,USA,0,S
ISL_468525,2020-03-27,USA,1,S
ISL_468638,2020-04-02,USA,1,S
ISL_468715,2020-04-06,USA,1,S
